priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-13,2026-09-17,midweek,4,2,LAST_MINUTE,399.0,500,2096.0,524.0,50.0,31.5,632.5,786.5,965.35,479.62,31.7,273.0,-126.0,↓ Reduce $399 → $273,2,370.32,536.25,453.28,-40% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-09-21,2026-09-24,midweek,3,10,LAST_MINUTE,399.0,500,1697.0,565.67,39.1,31.5,708.67,941.34,1016.2,587.45,15.3,324.0,-75.0,↓ Reduce $399 → $324,4,346.67,536.25,361.68,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-09-24,2026-09-27,weekend,3,13,NORMAL_WINDOW,549.0,500,2147.0,715.67,46.2,45.0,821.0,970.0,1012.4,748.2,7.1,502.0,-47.0,,4,520.01,804.38,542.51,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-09-27,2026-09-30,midweek,3,16,NORMAL_WINDOW,399.0,500,1697.0,565.67,33.3,31.5,741.0,1091.0,1116.67,617.77,12.0,338.0,-61.0,↓ Reduce $399 → $338,4,346.67,536.25,361.68,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-10-11,2026-10-14,midweek,3,30,NORMAL_WINDOW,532.33,500,2097.0,699.0,73.3,38.5,717.33,865.5,928.53,673.95,20.2,415.0,-117.0,↓ Reduce $532 → $415,5,332.91,406.01,353.04,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-10-26,2026-10-29,midweek,3,45,NORMAL_WINDOW,399.0,500,1697.0,565.67,32.1,38.5,959.0,1414.58,1581.53,809.33,-19.4,535.0,136.0,↑ Increase $399 → $535,8,332.91,550.22,407.15,+40% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-11-08,2026-11-11,midweek,3,58,NORMAL_WINDOW,490.0,500,1970.0,656.67,21.1,38.5,1133.0,1627.0,1877.93,953.74,-17.1,626.0,136.0,↑ Increase $490 → $626,7,364.79,625.69,522.98,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-11-15,2026-11-19,midweek,4,65,NORMAL_WINDOW,490.0,500,2460.0,615.0,29.6,45.5,952.5,1242.38,1633.05,904.79,-17.7,622.0,132.0,↑ Increase $490 → $622,6,364.79,625.69,465.63,+36% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,79,NORMAL_WINDOW,751.5,500,3506.0,876.5,56.5,45.5,916.5,1155.38,1211.6,817.5,30.8,545.0,-206.0,↓ Reduce $752 → $545,2,353.04,625.69,489.37,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-03,2026-12-06,weekend,3,83,NORMAL_WINDOW,714.0,500,2642.0,880.67,58.8,65.0,937.0,1175.33,1222.0,1134.67,-5.8,769.0,55.0,,3,529.55,938.53,631.22,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-06,2026-12-10,midweek,4,86,NORMAL_WINDOW,554.0,500,2716.0,679.0,47.8,45.5,837.75,1319.75,1459.65,799.88,3.1,534.0,-20.0,,4,353.04,625.69,535.49,Aligned With Track Record
URGENT_ACTION,UNDERPRICED,2026-12-27,2026-12-31,midweek,4,107,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,28.6,45.5,2104.0,2541.12,2568.65,2007.14,-27.7,1514.0,454.0,↑ Increase $1060 → $1514,7,313.3,1573.98,577.76,+154% vs Track Record
